taxid,name,n,gc_mean,gc_stdev,length_mean,length_stdev
6183,Schistosoma mansoni,1,35.2771,,364538000,
6182,Schistosoma japonicum,4,34.275675,0.6282573431060472,396938250,18184539.79575324
6334,Trichinella spiralis,7,35.7361,2.202967809569627,55503085.71428572,5554115.085960611
447093,Histoplasma capsulatum G186AR,2,44.39705,0.28701464248362146,30797400,444204.4799413892
7217,Drosophila ananassae,7,41.67415714285714,1.2935420388184053,186258285.57142857,44078674.44665115
5854,Plasmodium reichenowi,3,19.515733333333333,0.2995645895851728,23009633.333333332,2181880.5680727195
54126,Pristionchus pacificus,9,43.008766666666666,0.14566808161021433,160429888.8888889,9259367.76249389
572307,Neospora caninum Liverpool,1,54.8511,,57547400,
435258,Leishmania infantum JPCM5,1,59.5663,,32122100,
7220,Drosophila erecta,3,41.63333333333333,1.2423096769056121,144969333.33333334,8634539.092119124
7260,Drosophila willistoni,4,36.78185,0.9525952393330549,228246750,28841804.53641323
281687,Caenorhabditis japonica,2,39.604299999999995,0.41818295039372433,159116000,10097484.8353439
31234,Caenorhabditis remanei,5,38.06536,0.24603989107459812,134999000,8734311.048960874
135651,Caenorhabditis brenneri,2,39.0388,0.9350780074410917,158430000,45169981.182196654
559297,Blastomyces dermatitidis ER-3,1,37.1,,66608700,
7222,Drosophila grimshawi,2,36.0,0.9899494936611706,195925500,6424065.107079784
412133,Trichomonas vaginalis G3,2,32.8052,0.13406744571296847,178943500,3568767.924648505
7230,Drosophila mojavensis,2,38.1,1.9798989873223312,178498500,21676358.377273615
6305,Meloidogyne hapla,1,27.4,,53013000,
7244,Drosophila virilis,7,39.391171428571425,1.6436293273467357,158056907.14285713,70338508.3502891
5762,Naegleria gruberi,1,35.0,,40964100,
7234,Drosophila persimilis,4,44.250875,1.5680092673514403,174335250,20787453.30521915
5791,Physarum polycephalum,1,41.9,,205176000,
7238,Drosophila sechellia,5,42.15458,3.065330305529895,127154414,70662546.7584277
2986,Ochromonas danica,1,26.4,,44193100,
5888,Paramecium tetraurelia,1,28.2,,72094500,
294746,Meyerozyma guilliermondii ATCC 6260,2,43.8,0.0,10655200,63922.4530192639
1257118,Acanthamoeba castellanii str. Neff,1,57.8,,42019800,
423536,Perkinsus marinus ATCC 50983,1,47.4,,86605100,
36911,Clavispora lusitaniae,73,44.42634246575342,0.1999759547474875,11312304.93150685,985007.5513361465
7757,Petromyzon marinus,4,46.957724999999996,1.848796555194757,986659250,144233648.53222242
6669,Daphnia pulex,7,40.79841428571429,1.1195164394037438,152563571.2857143,29317794.296955075
403677,Phytophthora infestans T30-4,1,50.6,,228544000,
2762,Cyanophora paradoxa,1,63.4,,99940400,
306901,Chaetomium globosum CBS 148.51,1,55.4,,34886900,
12968,Blastocystis hominis,3,48.3,3.4044089061098415,13483400,4635356.123319976
3039,Euglena gracilis,2,51.0556,0.6443156990171828,1905170000,664213683.8397715
9986,Oryctolagus cuniculus,3,44.851866666666666,3.3661773368813077,2772140000,60076182.468595654
246410,Coccidioides immitis RS,1,46.0,,29016000,
36914,Lodderomyces elongisporus,6,36.560766666666666,0.32543436614264853,16870616.666666668,1438609.2956972949
170000,Phakopsora pachyrhizi,3,37.699999999999996,0.6928203230275526,713732903.3333334,617498598.5737036
64495,Rhizopus arrhizus,44,34.70314090909091,3.505049319715254,45224522.72727273,5884516.323363933
431241,Trichoderma reesei QM6a,2,51.9462,1.2074555395541482,34159099.5,1079611.340622402
336963,Uncinocarpus reesii 1704,1,48.6,,22349700,
9601,Pongo abelii,8,40.502975,1.5538536727853647,2393828072.5,1477219982.1422627
578462,Allomyces macrogynus ATCC 38327,1,60.5,,57060600,
5932,Ichthyophthirius multifiliis,1,15.95,,48800000,
29170,Ancylostoma caninum,4,41.75,3.168069864549497,382455750,55719229.68105356
502780,Paracoccidioides brasiliensis Pb18,1,44.4,,29952500,
664439,Paxillus involutus ATCC 200175,1,50.0,,58300700,
322104,Scheffersomyces stipitis CBS 6054,2,41.131,0.04384062043356426,15489900,68872.20048756973
4922,Komagataella pastoris,8,41.1966125,0.17114768424208612,9492345,158526.62696576514
178872,Pisolithus microcarpus,1,49.0,,77250900,
418459,Puccinia graminis f. sp. tritici CRL 75-36-700-3,1,43.8,,88724400,
27292,Saccharomyces pastorianus,20,36.74347,6.199856804551809,20955834.95,5128098.743230749
578458,Schizophyllum commune H4-8,1,57.5,,38670400,
6253,Ascaris suum,4,37.79905,0.27127527839201865,281485500,11931787.3905519
4232,Helianthus annuus,9,38.811366666666665,0.2947043815419114,3073518888.888889,61016603.15939516
645134,Spizellomyces punctatus DAOM BR117,1,47.6,,24131100,
94289,Sterkiella histriomuscorum,1,28.4,,66368600,
51022,Ancylostoma duodenale,1,42.7,,332876000,
4236,Lactuca sativa,2,37.363749999999996,0.7972628957878357,1862015000,1030049519.2222556
10228,Trichoplax adhaerens,1,34.5,,105632000,
6526,Biomphalaria glabrata,10,36.14863,0.08179100806323371,826567000,81795459.12280896
